,precision,recall,f1-score,support
0,0.7494320763289414,0.8245438640339915,0.7851957634178269,4001.0
1,0.4649390243902439,0.3561004086398132,0.4033057851239669,1713.0
accuracy,0.684109205460273,0.684109205460273,0.684109205460273,0.684109205460273
macro avg,0.6071855503595927,0.5903221363369023,0.5942507742708969,5714.0
weighted avg,0.6641439072755656,0.684109205460273,0.6707089708351559,5714.0
