,precision,recall,f1-score,support
0,0.7340933191940615,0.8442073170731708,0.7853091321610891,3280.0
1,0.5548780487804879,0.3884146341463415,0.45695839311334296,1640.0
accuracy,0.6922764227642276,0.6922764227642276,0.6922764227642276,0.6922764227642276
macro avg,0.6444856839872747,0.6163109756097561,0.621133762637216,4920.0
weighted avg,0.6743548957228703,0.6922764227642276,0.6758588858118404,4920.0
